GT,SPVAE,body,all parts,5040,10240,20000
0.349,3.64E-01,3.71E-01,3.62E-01,0.362045586,0.35452956,0.35273391
0.427,4.21E-01,4.27E-01,4.30E-01,0.427150518,0.417623788,0.425228655
0.344,3.71E-01,3.72E-01,3.69E-01,0.359551996,0.352473319,0.347479045
0.373,3.84E-01,3.79E-01,3.83E-01,0.38539803,0.377748668,0.379385889
0.335,3.86E-01,3.52E-01,3.59E-01,0.354975224,0.349514157,0.345487535
0.516,4.38E-01,4.48E-01,4.81E-01,0.511573315,0.5212816,0.516624749
0.335,4.16E-01,3.54E-01,3.61E-01,0.351899296,0.346760035,0.34567076
0.423,3.64E-01,4.24E-01,4.13E-01,0.424510539,0.421118796,0.425529003
0.431,4.00E-01,4.19E-01,4.18E-01,0.427266359,0.424673826,0.427720636
0.358,3.74E-01,3.68E-01,3.72E-01,0.369780362,0.372237056,0.370989442
0.416,4.29E-01,4.06E-01,4.16E-01,0.40801087,0.409280419,0.410158932
0.435,4.09E-01,4.13E-01,4.30E-01,0.422493905,0.425463319,0.426242292
0.322,3.99E-01,3.55E-01,3.59E-01,0.336624742,0.343476236,0.332475603
0.315,3.78E-01,3.51E-01,3.43E-01,0.348472297,0.351076454,0.335167468
0.441,4.13E-01,4.51E-01,4.40E-01,0.428374708,0.429814249,0.438418031
0.404,4.15E-01,4.22E-01,4.11E-01,0.406906426,0.413370073,0.404117882
0.518,3.70E-01,4.32E-01,4.40E-01,0.493575156,0.503840208,0.512104809
0.294,3.75E-01,3.40E-01,3.34E-01,0.323084921,0.321906775,0.326240003
0.418,3.98E-01,4.12E-01,4.14E-01,0.424332738,0.419330657,0.422579944
0.355,3.81E-01,3.76E-01,3.77E-01,0.366217732,0.354815423,0.358867675
0.407,3.89E-01,4.05E-01,4.15E-01,0.391169518,0.405453473,0.403137267
0.431,3.86E-01,4.26E-01,4.22E-01,0.4285689,0.434978008,0.434633017
0.384,3.88E-01,3.97E-01,3.86E-01,0.386984229,0.389144689,0.38776201
0.324,3.45E-01,3.55E-01,3.57E-01,0.354270875,0.351161063,0.344044447
0.341,3.59E-01,3.58E-01,3.58E-01,0.353489816,0.345549136,0.340260237
0.547,4.62E-01,4.63E-01,4.97E-01,0.514812291,0.526619852,0.534521341
0.357,3.90E-01,3.63E-01,3.69E-01,0.355527103,0.351832718,0.356631756
0.408,3.79E-01,4.04E-01,3.99E-01,0.409722328,0.39763099,0.401079834
0.42,4.10E-01,3.93E-01,4.24E-01,0.412426919,0.408534408,0.406922638
0.374,4.15E-01,3.79E-01,3.84E-01,0.374091655,0.371985257,0.376143277
0.425,3.84E-01,4.11E-01,4.16E-01,0.434198529,0.422385603,0.424951315
0.454,4.34E-01,4.29E-01,4.43E-01,0.456567705,0.460338771,0.462916225
0.332,3.89E-01,3.61E-01,3.63E-01,0.363708854,0.359183311,0.354578167
0.456,4.36E-01,4.26E-01,4.32E-01,0.457192123,0.458708942,0.464340091
0.49,3.99E-01,4.38E-01,4.49E-01,0.477815092,0.482850492,0.477633536
0.366,3.98E-01,3.85E-01,3.80E-01,0.3770459,0.383020818,0.384546518
0.327,3.80E-01,3.96E-01,3.81E-01,0.379647911,0.357971787,0.350212574
0.372,4.11E-01,3.93E-01,3.83E-01,0.364363343,0.365157455,0.369178176
0.465,4.08E-01,4.45E-01,4.55E-01,0.472639441,0.477209121,0.472831666
0.322,3.54E-01,3.54E-01,3.46E-01,0.348748267,0.347652107,0.346254528
0.387,3.94E-01,3.93E-01,3.98E-01,0.388224721,0.387948483,0.390585244
0.459,3.96E-01,4.18E-01,4.39E-01,0.460433125,0.456042528,0.432765007
0.437,3.74E-01,4.24E-01,4.21E-01,0.417241096,0.412211031,0.421512663
0.388,4.00E-01,4.07E-01,4.04E-01,0.40259546,0.393563241,0.396300197
0.479,3.94E-01,4.12E-01,4.22E-01,0.467978269,0.470775992,0.463586986
0.367,3.94E-01,3.79E-01,3.79E-01,0.377069056,0.369874746,0.37043193
0.337,3.66E-01,3.63E-01,3.66E-01,0.357916802,0.347641021,0.349624395
0.441,4.27E-01,4.25E-01,4.39E-01,0.434702128,0.4241561,0.425820947
0.415,4.22E-01,4.20E-01,4.20E-01,0.416778803,0.416494787,0.419702232
0.381,3.90E-01,3.75E-01,3.78E-01,0.392928094,0.389857292,0.390706599
0.364,3.90E-01,3.72E-01,3.70E-01,0.364489913,0.360436857,0.361291081
0.402,4.20E-01,4.06E-01,4.08E-01,0.400811464,0.385745645,0.398982227
0.377,3.75E-01,3.81E-01,3.82E-01,0.372863621,0.377349764,0.380925596
0.4,3.99E-01,3.99E-01,4.03E-01,0.40334025,0.396994054,0.401324451
0.397,3.92E-01,4.18E-01,3.95E-01,0.417656183,0.413839996,0.406249642
0.474,4.32E-01,4.36E-01,4.52E-01,0.467897832,0.476841241,0.4746494
0.339,3.48E-01,3.61E-01,3.59E-01,0.355869681,0.351932883,0.34388873
0.441,4.08E-01,4.22E-01,4.37E-01,0.453974009,0.457116395,0.44401896
0.453,4.14E-01,4.04E-01,4.39E-01,0.464619458,0.438265711,0.438139141
0.509,4.28E-01,4.46E-01,4.75E-01,0.486559808,0.489385784,0.50173533
0.472,4.43E-01,4.54E-01,4.59E-01,0.479172647,0.473967671,0.47121048
0.394,3.81E-01,3.77E-01,3.86E-01,0.382364005,0.379042119,0.386213362
0.35,3.62E-01,3.65E-01,3.69E-01,0.357672185,0.353618056,0.349367797
0.387,3.79E-01,3.90E-01,3.90E-01,0.389545381,0.386150032,0.385805309
0.452,4.28E-01,4.27E-01,4.51E-01,0.451321542,0.444197774,0.451029122
0.432,4.04E-01,4.03E-01,4.23E-01,0.419429481,0.412356496,0.41466707
0.365,3.70E-01,3.82E-01,3.75E-01,0.37556693,0.37483114,0.384775221
0.477,4.14E-01,4.56E-01,4.52E-01,0.476337492,0.477929354,0.472185493
0.348,3.87E-01,3.61E-01,3.61E-01,0.358531415,0.356740713,0.353776872
0.44,4.12E-01,4.34E-01,4.36E-01,0.441790909,0.440116197,0.440141022
0.411,3.93E-01,4.13E-01,4.02E-01,0.41980195,0.418930948,0.419645131
0.338,3.74E-01,3.61E-01,3.66E-01,0.35562411,0.34956938,0.345946908
0.334,3.77E-01,3.66E-01,3.70E-01,0.352353334,0.350309551,0.340127826
0.433,3.86E-01,4.12E-01,4.19E-01,0.413964421,0.418191165,0.416982293
0.441,4.22E-01,4.18E-01,4.30E-01,0.434032917,0.442088366,0.443500996
0.306,3.70E-01,3.38E-01,3.52E-01,0.337771446,0.33207801,0.329127014
0.417,4.47E-01,4.39E-01,4.50E-01,0.435839623,0.416490018,0.422795296
0.358,3.93E-01,3.65E-01,3.71E-01,0.36735785,0.368762493,0.356869102
0.403,4.10E-01,4.06E-01,4.07E-01,0.403189212,0.406188935,0.402495146
0.407,4.01E-01,4.13E-01,4.09E-01,0.411720753,0.414591759,0.413949192
0.399,3.98E-01,4.06E-01,3.98E-01,0.412050128,0.409443766,0.408194244
0.409,3.82E-01,3.81E-01,3.88E-01,0.369521797,0.36245966,0.378527999
0.449,4.11E-01,4.34E-01,4.41E-01,0.453347087,0.45799017,0.455039442
0.478,4.35E-01,4.15E-01,4.59E-01,0.453578889,0.432897568,0.447648346
0.382,3.83E-01,3.83E-01,3.82E-01,0.373008728,0.374781787,0.376333922
0.428,4.18E-01,4.26E-01,4.34E-01,0.438028276,0.427734375,0.431884706
0.437,3.87E-01,4.05E-01,4.09E-01,0.421278805,0.42503953,0.420832783
0.429,3.80E-01,3.88E-01,3.94E-01,0.421922892,0.406303644,0.406698108
0.333,3.79E-01,3.45E-01,3.54E-01,0.34230572,0.338829696,0.336118877
0.393,4.02E-01,3.96E-01,3.93E-01,0.412687153,0.397664428,0.412433624
0.38,4.07E-01,3.84E-01,3.95E-01,0.374515772,0.379008114,0.385238469
0.403,3.83E-01,4.02E-01,3.88E-01,0.394238055,0.387360096,0.394882292
0.349,3.92E-01,3.48E-01,3.71E-01,0.358543396,0.351657093,0.354252458
0.458,4.12E-01,4.35E-01,4.29E-01,0.455191255,0.462535024,0.451734722
0.337,3.50E-01,3.50E-01,3.49E-01,0.3501136,0.345784098,0.343215883
0.46,3.95E-01,4.36E-01,4.25E-01,0.455393076,0.449102849,0.452317268
0.366,3.74E-01,3.70E-01,3.70E-01,0.363609344,0.368984014,0.368345827
0.47,4.33E-01,4.49E-01,4.61E-01,0.483004749,0.488508821,0.47759366
0.347,3.82E-01,3.63E-01,3.64E-01,0.370255083,0.362569928,0.351949424
0.375,3.80E-01,3.81E-01,3.80E-01,0.377767086,0.369247615,0.375196457
0.547,3.89E-01,4.57E-01,4.82E-01,0.546360314,0.527890086,0.52565068
0.503,3.78E-01,4.40E-01,4.53E-01,0.486710399,0.491095841,0.501991212
0.436,4.23E-01,4.07E-01,4.34E-01,0.423608065,0.431081593,0.434932739
0.415,3.80E-01,3.91E-01,3.97E-01,0.409898907,0.406963944,0.410056949
0.47,4.08E-01,4.48E-01,4.51E-01,0.457479119,0.475381672,0.466534257
0.323,3.85E-01,3.60E-01,3.83E-01,0.344043374,0.340872198,0.335738361
0.456,4.12E-01,4.33E-01,4.34E-01,0.418857098,0.427507669,0.432355762
0.387,3.90E-01,3.94E-01,3.89E-01,0.412410825,0.413438886,0.392095745
0.404,4.00E-01,3.93E-01,4.04E-01,0.421115816,0.414749742,0.414029479
0.357,3.93E-01,3.64E-01,3.69E-01,0.359076381,0.359283894,0.355577648
0.327,4.08E-01,3.51E-01,3.80E-01,0.354842603,0.344247639,0.345577359
0.445,4.21E-01,4.34E-01,4.32E-01,0.430445373,0.449023336,0.448900223
0.335,3.65E-01,3.48E-01,3.52E-01,0.345935434,0.350099802,0.34680891
0.393,4.11E-01,4.02E-01,3.97E-01,0.400053918,0.397411138,0.400691688
0.422,4.00E-01,4.05E-01,4.14E-01,0.415197045,0.416374058,0.420821995
0.414,4.04E-01,4.18E-01,4.11E-01,0.41434592,0.409911305,0.40546301
0.385,3.95E-01,3.89E-01,3.87E-01,0.38866505,0.370584309,0.377965748
0.522,3.84E-01,4.24E-01,4.26E-01,0.498564601,0.497630894,0.500869632
0.373,3.86E-01,3.83E-01,3.82E-01,0.37285006,0.373726368,0.377345264
0.355,4.00E-01,3.63E-01,3.69E-01,0.350958735,0.346550256,0.352439225
0.419,4.20E-01,4.16E-01,4.16E-01,0.421442926,0.41517055,0.419286937
0.355,3.84E-01,3.63E-01,3.79E-01,0.370795727,0.358355165,0.357653975
0.345,3.97E-01,4.11E-01,3.90E-01,0.364881724,0.35739848,0.349518925
0.373,3.92E-01,3.86E-01,3.80E-01,0.37689501,0.378929019,0.377363503
0.418,4.13E-01,4.23E-01,4.20E-01,0.41318202,0.42187506,0.421387255
0.427,3.94E-01,3.94E-01,4.04E-01,0.428974748,0.414406836,0.421162248
0.421,4.03E-01,4.03E-01,4.24E-01,0.40755409,0.409817874,0.405880749
0.361,4.09E-01,3.80E-01,3.82E-01,0.364334911,0.361939549,0.366522551
0.318,3.70E-01,3.43E-01,3.51E-01,0.341079205,0.346150666,0.334041357
0.497,4.29E-01,4.49E-01,4.61E-01,0.468482196,0.479562402,0.481104732
0.407,4.18E-01,3.83E-01,4.13E-01,0.392479569,0.386517256,0.391720921
0.483,4.22E-01,4.46E-01,4.63E-01,0.468875766,0.47068733,0.477479696
0.288,3.60E-01,3.25E-01,3.31E-01,0.337433368,0.339654803,0.332032621
0.333,3.87E-01,3.53E-01,3.59E-01,0.342834741,0.343628287,0.337583423
0.393,4.12E-01,4.21E-01,4.01E-01,0.409843504,0.419021249,0.418346405
0.363,3.93E-01,3.94E-01,3.95E-01,0.380696565,0.377571136,0.381195337
0.319,3.62E-01,3.50E-01,3.66E-01,0.336728007,0.341374338,0.332274318
0.403,3.90E-01,4.04E-01,3.98E-01,0.396244287,0.387448698,0.400517464
0.321,3.76E-01,3.48E-01,3.44E-01,0.337307513,0.332657784,0.333313942
0.417,3.80E-01,4.01E-01,4.19E-01,0.415896833,0.415317118,0.415842146
0.384,4.02E-01,3.88E-01,3.81E-01,0.374988317,0.368623435,0.378650904
0.336,3.96E-01,3.68E-01,3.62E-01,0.362576455,0.346341521,0.341637731
0.339,3.60E-01,3.51E-01,3.53E-01,0.344770432,0.344693512,0.341125369
0.51,4.11E-01,4.53E-01,4.72E-01,0.494886458,0.49138853,0.503030062
0.357,3.75E-01,3.59E-01,3.64E-01,0.368429095,0.361885369,0.361310482
0.527,4.01E-01,4.63E-01,4.58E-01,0.503596544,0.507287323,0.515977859
0.358,3.84E-01,3.72E-01,3.74E-01,0.358621806,0.359477252,0.352456629
0.424,4.01E-01,3.92E-01,4.12E-01,0.401346684,0.39174363,0.392195374
0.393,3.89E-01,3.95E-01,3.92E-01,0.394401044,0.386678129,0.395077109
0.333,3.75E-01,3.70E-01,3.61E-01,0.339964509,0.326429546,0.322582901
0.4,3.97E-01,3.95E-01,4.01E-01,0.402752519,0.404414207,0.401055753
0.409,4.19E-01,3.97E-01,4.15E-01,0.415257603,0.417998731,0.417522967
0.364,3.80E-01,3.72E-01,3.70E-01,0.377328396,0.372722715,0.370597482
0.417,3.86E-01,4.01E-01,4.07E-01,0.402404666,0.386726975,0.394282937
0.427,4.26E-01,4.26E-01,4.24E-01,0.425602645,0.416921318,0.428753734
0.357,4.03E-01,3.65E-01,3.88E-01,0.361721128,0.355829626,0.353188515
0.387,4.04E-01,3.89E-01,3.99E-01,0.380634755,0.382484734,0.389670253
0.358,3.77E-01,3.73E-01,3.77E-01,0.370133132,0.36777693,0.367901742
0.375,4.20E-01,3.73E-01,3.95E-01,0.38114512,0.373233497,0.374861956
0.402,3.76E-01,3.80E-01,3.89E-01,0.409316123,0.386547387,0.396802902
0.399,4.01E-01,4.05E-01,4.06E-01,0.398310483,0.389781773,0.401909649
0.395,3.85E-01,3.95E-01,3.92E-01,0.401470661,0.409444034,0.411106884
0.472,3.58E-01,4.34E-01,4.23E-01,0.469008386,0.474912643,0.470967174
0.328,4.02E-01,3.53E-01,3.81E-01,0.353757322,0.352136761,0.349666297
0.451,4.24E-01,4.29E-01,4.36E-01,0.433062911,0.430445135,0.435094178
0.36,3.81E-01,3.91E-01,3.69E-01,0.358016402,0.353611052,0.35711512
0.341,3.66E-01,3.80E-01,3.63E-01,0.354441345,0.349845588,0.348604769
0.333,3.92E-01,3.61E-01,3.74E-01,0.355949104,0.3442747,0.346536756
0.363,3.99E-01,3.70E-01,3.70E-01,0.362866342,0.362568438,0.360671759
0.466,4.22E-01,4.36E-01,4.51E-01,0.474301726,0.47478506,0.469008833
0.321,3.80E-01,3.49E-01,3.64E-01,0.352373123,0.343750507,0.339606285
0.481,4.33E-01,4.53E-01,4.53E-01,0.451013684,0.470616698,0.474464655
0.377,4.01E-01,3.87E-01,3.96E-01,0.375517905,0.37643823,0.382127285
0.398,3.80E-01,3.89E-01,3.79E-01,0.398223728,0.398025751,0.400283456
0.495,4.42E-01,4.56E-01,4.64E-01,0.493816912,0.496108174,0.50448966
0.471,4.06E-01,4.37E-01,4.30E-01,0.458968282,0.472245276,0.462618411
0.375,3.84E-01,3.77E-01,3.84E-01,0.372395456,0.384457022,0.375893652
0.507,4.21E-01,4.38E-01,4.68E-01,0.490648478,0.49114877,0.502393484
0.478,4.13E-01,4.33E-01,4.26E-01,0.464089811,0.468538225,0.471203744
0.397,3.87E-01,4.02E-01,3.95E-01,0.40026927,0.398958504,0.399378479
0.318,3.84E-01,3.54E-01,3.43E-01,0.337803483,0.341262639,0.32910648
0.325,3.57E-01,3.48E-01,3.54E-01,0.35654369,0.348670661,0.341741562
0.431,4.06E-01,4.28E-01,4.06E-01,0.421744734,0.419901609,0.4258582
0.296,3.52E-01,3.41E-01,3.40E-01,0.336178243,0.330643535,0.325591058
0.32,4.22E-01,3.92E-01,3.78E-01,0.349986613,0.336983562,0.334912866
0.481,4.38E-01,4.55E-01,4.59E-01,0.480255514,0.480772078,0.488413572
0.382,3.79E-01,3.74E-01,3.85E-01,0.388465881,0.381380469,0.377525955
0.446,4.14E-01,4.17E-01,4.34E-01,0.440137535,0.42979461,0.426986694
0.313,3.68E-01,3.37E-01,3.46E-01,0.340186834,0.336761445,0.331693977
0.395,4.04E-01,4.07E-01,3.99E-01,0.392930597,0.395638734,0.395747364
0.394,4.14E-01,3.86E-01,4.01E-01,0.394739389,0.389054209,0.393960893
0.377,3.94E-01,3.81E-01,3.77E-01,0.378598452,0.3767097,0.378438592
0.34,3.60E-01,3.56E-01,3.54E-01,0.345238775,0.345773488,0.341995776
0.322,3.54E-01,3.38E-01,3.41E-01,0.337229729,0.332225084,0.334574103
0.494,4.19E-01,4.32E-01,4.57E-01,0.471348763,0.483535886,0.477129102
0.394,3.97E-01,4.12E-01,4.01E-01,0.400119603,0.397462606,0.398207128
0.53,4.63E-01,4.80E-01,5.00E-01,0.506979167,0.510903418,0.515913725
0.421,4.17E-01,4.19E-01,4.24E-01,0.410936236,0.411205202,0.403283268
0.368,4.04E-01,3.80E-01,3.75E-01,0.373854667,0.373934031,0.365098059
0.296,3.96E-01,3.41E-01,3.39E-01,0.331649691,0.333593845,0.325741947
0.338,3.93E-01,3.68E-01,3.67E-01,0.358207554,0.360985726,0.353604406
0.362,3.87E-01,3.78E-01,3.71E-01,0.368978888,0.368881166,0.364641964
0.435,4.19E-01,4.24E-01,4.26E-01,0.428035498,0.429980218,0.42995432
0.361,3.85E-01,3.66E-01,3.68E-01,0.364544243,0.359908968,0.358508468
0.598,4.17E-01,4.74E-01,5.13E-01,0.543224216,0.541783571,0.548107386
0.345,3.67E-01,3.71E-01,3.57E-01,0.356457442,0.352169156,0.350830913
0.428,4.09E-01,4.26E-01,4.26E-01,0.437048465,0.42341733,0.426570654
0.371,4.41E-01,3.78E-01,3.88E-01,0.374946058,0.378626406,0.380984783
0.334,4.04E-01,3.58E-01,3.56E-01,0.35389185,0.346623093,0.340391099
0.405,4.05E-01,4.00E-01,4.05E-01,0.416548759,0.417176038,0.415496051
0.335,3.85E-01,3.62E-01,3.60E-01,0.352667034,0.344927311,0.338497132
0.323,3.50E-01,3.34E-01,3.47E-01,0.339238644,0.341060668,0.331036389
0.415,4.09E-01,4.13E-01,4.10E-01,0.412917107,0.415080011,0.414471775
0.413,3.76E-01,3.95E-01,3.95E-01,0.398054391,0.398497105,0.399421215
0.36,3.75E-01,4.08E-01,3.70E-01,0.370444119,0.36651063,0.364925802
0.335,3.88E-01,3.52E-01,3.58E-01,0.352791935,0.342696548,0.342973471
0.444,4.35E-01,4.37E-01,4.43E-01,0.469088465,0.459343433,0.455464065
0.573,3.75E-01,4.47E-01,4.69E-01,0.520478368,0.521437407,0.524448156
0.541,3.85E-01,4.56E-01,4.76E-01,0.509581447,0.519137084,0.521880627
0.438,4.26E-01,4.28E-01,4.42E-01,0.433699697,0.438361287,0.434352815
0.381,3.83E-01,3.85E-01,3.82E-01,0.381579578,0.380762875,0.380977303
0.536,3.90E-01,4.53E-01,4.65E-01,0.510710478,0.511756718,0.523513317
0.433,4.13E-01,4.30E-01,4.28E-01,0.443421364,0.439512074,0.4352265
0.454,3.84E-01,4.24E-01,4.05E-01,0.436530858,0.431139767,0.436126441
0.424,4.03E-01,4.17E-01,4.20E-01,0.426006615,0.417215824,0.422847271
0.391,3.83E-01,3.90E-01,3.96E-01,0.40801087,0.409280419,0.410158932
0.395,4.10E-01,4.07E-01,4.05E-01,0.409560323,0.398725718,0.393996835
0.576,3.79E-01,4.88E-01,5.03E-01,0.526462972,0.545706809,0.549472213
0.367,3.74E-01,3.60E-01,3.65E-01,0.369348347,0.361885369,0.361372828
0.322,3.41E-01,3.50E-01,3.53E-01,0.34236449,0.337426424,0.332121789
0.351,3.80E-01,3.67E-01,3.66E-01,0.36610806,0.362222016,0.3643381
