GT,all parts,SPVAE,5040,10240,20000,wings
0.488,0.489958495,0.465356171,0.51415354,0.513145506,0.52557385,0.398308724
0.519,0.508906007,0.493246138,0.474547148,0.487871617,0.487681031,0.409509987
0.371,0.431811869,0.416480333,0.443965435,0.443426609,0.440509588,0.431982815
0.133,0.230105281,0.152566463,0.211381793,0.188404158,0.205977678,0.240712419
0.453,0.338554054,0.405643165,0.33240521,0.331142068,0.330668926,0.266752452
0.479,0.481579393,0.459487617,0.477890998,0.481903911,0.494564563,0.489814401
0.686,0.629328668,0.633743286,0.605248153,0.593520999,0.603612781,0.57856667
0.135,0.160341263,0.1424575,0.140079618,0.133558959,0.136223555,0.15818885
0.352,0.413256884,0.381676972,0.412135661,0.417273343,0.403409421,0.453236103
0.315,0.34288916,0.334294558,0.328944683,0.321447998,0.318816572,0.305316269
0.055,0.168311208,0.116682246,0.175247416,0.186070353,0.219648838,0.123812601
0.864,0.796583533,0.800571859,0.848316073,0.851498365,0.849034548,0.721870005
0.398,0.395179033,0.429023653,0.456671119,0.450152278,0.436817914,0.433243155
0.579,0.585275233,0.576108396,0.542700529,0.568202019,0.539282024,0.54497081
0.312,0.269596875,0.307614595,0.282042623,0.282244176,0.283162922,0.266090155
0.083,0.127617717,0.135205328,0.087523691,0.094083644,0.086815879,0.125789955
0.173,0.367868602,0.262596279,0.324199945,0.307358235,0.327881634,0.405056387
0.224,0.226400092,0.233296648,0.241627112,0.221074015,0.236462712,0.295295805
0.205,0.274814367,0.241397843,0.259124339,0.246679157,0.26633215,0.30842948
0.242,0.267681837,0.256772876,0.292872965,0.28425914,0.295993507,0.277694881
0.603,0.583307803,0.585523188,0.561493158,0.577415824,0.572478652,0.558127522
0.44,0.446825683,0.432076454,0.372746617,0.386328638,0.384706169,0.429045141
0.551,0.518154025,0.498088509,0.528406262,0.53712821,0.547858059,0.508844495
0.322,0.351027191,0.354118824,0.357424796,0.375667274,0.383670866,0.473228425
0.761,0.664330721,0.681217313,0.675067186,0.656335354,0.644778907,0.598984897
0.236,0.239302233,0.258189946,0.258591473,0.245720595,0.238617644,0.285378546
0.196,0.203912288,0.201757342,0.205515951,0.18833451,0.1940635,0.228574306
0.33,0.319877267,0.31794697,0.349459887,0.331141114,0.327954024,0.291539222
0.398,0.410826266,0.390242189,0.425899446,0.383776367,0.399171978,0.409165561
0.156,0.284618616,0.230444089,0.234549955,0.226613134,0.251926303,0.320361823
0.007,0.196880713,0.082569405,0.059940532,0.096703023,0.081111155,0.113207169
0.18,0.201834485,0.21880278,0.176094785,0.163851053,0.171521127,0.165684223
0.64,0.532803893,0.55295676,0.495103806,0.487553477,0.475851536,0.392537951
0.278,0.366432667,0.315011412,0.309715897,0.285886705,0.280922413,0.379499614
0.617,0.607378721,0.563615799,0.61058861,0.588530123,0.599571466,0.573059976
0.519,0.496250689,0.493072122,0.470690191,0.471230805,0.4609465,0.489388496
0.368,0.357287973,0.378276467,0.334823817,0.363180608,0.362399697,0.435143411
0.235,0.246281981,0.273080379,0.25130707,0.259995699,0.276890993,0.320959657
